"","home_pm","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5"
"62",0,"Kevin Love","J.R. Smith","Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Chris Bosh","Hassan Whiteside","Dwyane Wade","Justise Winslow","Mario Chalmers"
"63",0,"Kevin Love","J.R. Smith","Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Hassan Whiteside","Dwyane Wade","Justise Winslow","Mario Chalmers","Gerald Green"
"64",-1,"Kevin Love","J.R. Smith","Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Hassan Whiteside","Justise Winslow","Mario Chalmers","Gerald Green","Josh McRoberts"
"65",3,"Kevin Love","J.R. Smith","Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Justise Winslow","Mario Chalmers","Gerald Green","Josh McRoberts","Amar'e Stoudemire"
"66",1,"Kevin Love","Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Jared Cunningham","Justise Winslow","Mario Chalmers","Gerald Green","Josh McRoberts","Amar'e Stoudemire"
"67",-1,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Jared Cunningham","Anderson Varejao","Justise Winslow","Mario Chalmers","Gerald Green","Josh McRoberts","Amar'e Stoudemire"
"68",6,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Anderson Varejao","LeBron James","Justise Winslow","Mario Chalmers","Gerald Green","Josh McRoberts","Amar'e Stoudemire"
"69",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Anderson Varejao","LeBron James","Mario Chalmers","Gerald Green","Josh McRoberts","Amar'e Stoudemire","Chris Bosh"
"70",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Anderson Varejao","LeBron James","Gerald Green","Josh McRoberts","Amar'e Stoudemire","Chris Bosh","Goran Dragic"
"71",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Anderson Varejao","LeBron James","Gerald Green","Amar'e Stoudemire","Chris Bosh","Goran Dragic","Luol Deng"
"72",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Anderson Varejao","LeBron James","Amar'e Stoudemire","Chris Bosh","Goran Dragic","Luol Deng","Dwyane Wade"
