"","home_pm","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5"
"198",1,"Nik Stauskas","Jerami Grant","TJ McConnell","Nerlens Noel","Richaun Holmes","Alec Burks","Trey Burke","Trevor Booker","Trey Lyles","Joe Ingles"
"199",-1,"Jerami Grant","TJ McConnell","Nerlens Noel","Richaun Holmes","Isaiah Canaan","Alec Burks","Trey Burke","Trevor Booker","Trey Lyles","Joe Ingles"
"200",0,"Nerlens Noel","Jahlil Okafor","Isaiah Canaan","Jerami Grant","TJ McConnell","Alec Burks","Trey Burke","Trevor Booker","Trey Lyles","Joe Ingles"
"201",3,"Nerlens Noel","Jahlil Okafor","Isaiah Canaan","Jerami Grant","TJ McConnell","Alec Burks","Trey Burke","Trevor Booker","Joe Ingles","Rudy Gobert"
"202",1,"Nerlens Noel","Jahlil Okafor","Isaiah Canaan","Jerami Grant","Hollis Thompson","Alec Burks","Trey Burke","Trevor Booker","Joe Ingles","Rudy Gobert"
"203",0,"Nerlens Noel","Jahlil Okafor","Isaiah Canaan","Jerami Grant","Hollis Thompson","Alec Burks","Trey Burke","Trevor Booker","Rudy Gobert","Rodney Hood"
"204",-8,"Nerlens Noel","Jahlil Okafor","Isaiah Canaan","Hollis Thompson","JaKarr Sampson","Alec Burks","Trey Burke","Trevor Booker","Rudy Gobert","Rodney Hood"
"205",-5,"Nerlens Noel","Jahlil Okafor","Isaiah Canaan","Hollis Thompson","Jerami Grant","Alec Burks","Trey Burke","Trevor Booker","Rudy Gobert","Rodney Hood"
"206",2,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Jerami Grant","TJ McConnell","Alec Burks","Trey Burke","Trevor Booker","Rudy Gobert","Rodney Hood"
"207",0,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Jerami Grant","TJ McConnell","Trey Burke","Trevor Booker","Rudy Gobert","Rodney Hood","Gordon Hayward"
"208",-2,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Jerami Grant","TJ McConnell","Trey Burke","Rudy Gobert","Rodney Hood","Gordon Hayward","Derrick Favors"
"209",1,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Jerami Grant","TJ McConnell","Rudy Gobert","Rodney Hood","Gordon Hayward","Derrick Favors","Raul Neto"
"210",0,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Jerami Grant","Isaiah Canaan","Rudy Gobert","Rodney Hood","Gordon Hayward","Derrick Favors","Raul Neto"
"211",0,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nik Stauskas","Rudy Gobert","Rodney Hood","Gordon Hayward","Derrick Favors","Raul Neto"
"212",2,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nik Stauskas","Rudy Gobert","Gordon Hayward","Derrick Favors","Raul Neto","Alec Burks"
"213",-1,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nik Stauskas","Rudy Gobert","Gordon Hayward","Derrick Favors","Alec Burks","Trey Burke"
"214",-1,"Nerlens Noel","Jahlil Okafor","Isaiah Canaan","Nik Stauskas","Jerami Grant","Rudy Gobert","Gordon Hayward","Derrick Favors","Alec Burks","Trey Burke"
"215",-8,"JaKarr Sampson","Nerlens Noel","Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Gordon Hayward","Derrick Favors","Rudy Gobert","Rodney Hood","Raul Neto"
"216",0,"JaKarr Sampson","Nerlens Noel","Jahlil Okafor","Hollis Thompson","TJ McConnell","Gordon Hayward","Derrick Favors","Rudy Gobert","Rodney Hood","Raul Neto"
"217",-2,"JaKarr Sampson","Nerlens Noel","Jahlil Okafor","Hollis Thompson","TJ McConnell","Derrick Favors","Rudy Gobert","Rodney Hood","Raul Neto","Alec Burks"
"218",-3,"Nerlens Noel","Jahlil Okafor","Hollis Thompson","TJ McConnell","Nik Stauskas","Derrick Favors","Rudy Gobert","Rodney Hood","Raul Neto","Alec Burks"
"219",0,"Jahlil Okafor","Hollis Thompson","TJ McConnell","Nik Stauskas","Jerami Grant","Derrick Favors","Rudy Gobert","Rodney Hood","Raul Neto","Alec Burks"
"220",0,"Jahlil Okafor","Hollis Thompson","TJ McConnell","Nik Stauskas","Jerami Grant","Derrick Favors","Rudy Gobert","Rodney Hood","Raul Neto","Gordon Hayward"
"221",3,"Jahlil Okafor","Hollis Thompson","TJ McConnell","Nik Stauskas","Jerami Grant","Derrick Favors","Rodney Hood","Raul Neto","Gordon Hayward","Trevor Booker"
"222",0,"Hollis Thompson","TJ McConnell","Nik Stauskas","Jerami Grant","Isaiah Canaan","Derrick Favors","Rodney Hood","Raul Neto","Gordon Hayward","Trevor Booker"
"223",0,"TJ McConnell","Nik Stauskas","Jerami Grant","Isaiah Canaan","Nerlens Noel","Derrick Favors","Rodney Hood","Raul Neto","Gordon Hayward","Trevor Booker"
"224",3,"TJ McConnell","Nik Stauskas","Jerami Grant","Isaiah Canaan","Nerlens Noel","Derrick Favors","Rodney Hood","Gordon Hayward","Trevor Booker","Trey Burke"
"225",3,"TJ McConnell","Nik Stauskas","Jerami Grant","Isaiah Canaan","Nerlens Noel","Derrick Favors","Rodney Hood","Gordon Hayward","Trey Burke","Joe Ingles"
"226",0,"TJ McConnell","Nik Stauskas","Jerami Grant","Isaiah Canaan","Nerlens Noel","Derrick Favors","Gordon Hayward","Trey Burke","Joe Ingles","Alec Burks"
"227",-1,"TJ McConnell","Jerami Grant","Isaiah Canaan","Nerlens Noel","JaKarr Sampson","Derrick Favors","Gordon Hayward","Trey Burke","Joe Ingles","Alec Burks"
